Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10
0.059151802,-0.059194747,-0.02890701,-0.006676204,-0.115864865,-0.12464457,-0.027172139,-0.10992433,-0.06553835,0.022674605
0.059156373,-0.024803389,0.022822859,-0.16627853,-0.0715545,-0.02257171,-0.02166417,-0.0033851448,0.03003385,-0.047262248
0.059135385,0.0009176831,-0.0188106,-0.011092235,0.020168103,0.015144161,0.0033731184,0.094668634,-0.021415558,-0.07361702
0.059138086,0.067771405,-0.036031,0.07038798,0.028054684,-0.047115628,-0.0063014533,-0.02809117,-0.030143064,-0.03424031
0.05914561,-0.059909776,0.039906304,0.06778211,0.023039542,0.014127688,0.048332833,-0.007286532,-0.018248655,0.010223968
0.059140008,0.005534819,-0.103958495,0.005915798,0.015076512,-0.044467393,-0.09120185,-0.09925996,0.02601487,-0.00026647176
0.059150852,-0.008770528,0.022579743,-0.0363504,-0.05104128,-0.060369182,0.07373877,-0.046774328,-0.04028602,0.0116228545
0.05915296,0.042114437,-0.058147002,-0.053598605,0.019490123,0.027100237,-0.0027535448,-0.042219073,0.025618017,-0.0104588885
0.05914531,0.019241005,-0.032307062,-0.017045213,0.04401502,-0.0002496428,0.021622444,0.026762018,-0.036579177,-0.022353597
0.059147205,0.00014863664,-0.0042427178,0.10762703,0.013839116,-0.0720333,0.0052616457,-0.020051138,-0.007881007,-0.15629986
0.0591536,0.019060364,-0.055454563,0.034330945,0.06094354,-0.1459944,-0.05804674,-0.12493297,0.1535593,-0.10836831
0.05914824,0.0013786524,-0.027956842,0.0075698714,-0.04490348,-0.0042254524,-0.07845033,-0.013097253,-0.009805444,0.1622459
0.059164315,-0.10888487,-0.0029585836,-0.09134439,0.015321368,-0.041910876,-0.018390168,0.07761872,-0.009161846,0.036818102
0.059152868,0.051872134,-0.0463325,-7.917583e-05,-0.0470058,-0.031296726,0.025830425,-0.01993872,-0.020620394,-0.007626955
0.05915373,-0.027134627,-0.07852673,0.07375045,0.035989325,-0.08954416,0.043927174,-0.048472278,-0.009457969,0.026826266
0.059166115,0.042679064,0.02751553,0.009863677,0.017162135,-0.0125280125,-0.04102115,0.021221781,-0.025476636,-0.06693847
0.059164178,0.07072999,-0.08074325,0.03328243,-0.055761997,-0.0132050235,-0.0020509071,0.10345027,0.04873449,0.037925687
0.059164733,0.042129494,0.034766257,-0.01939455,-0.008936313,0.0007435828,0.043683622,-0.02969674,0.049784254,0.028714849
0.059173685,0.008962836,-0.07553467,-0.0413258,0.02911619,-0.060802776,0.0037625958,-0.09329329,-0.019096186,-0.0482587
0.05916838,-0.10045101,0.05533408,-0.040221114,0.022365054,-0.07215817,0.018668486,0.014363109,0.024304349,-0.014529667
0.05919148,-0.018472297,0.045911554,0.021674104,-0.07882025,0.032630827,-0.056471314,-0.048677515,0.05394254,0.0011586292
0.059178732,-0.013362653,-0.0028155083,-0.072180554,-0.057308115,-0.10968509,-0.0535383,-0.039365884,0.04947976,0.011619186
0.059182897,0.04518269,-0.06684397,-0.018523904,-0.011026193,-0.08910398,0.11444108,0.03716746,-0.046710573,-0.05244898
0.05921908,-0.11721234,0.067918494,-0.16116033,0.2679679,0.10041768,0.13607895,-0.008173771,0.26372907,-0.0026277676
0.05918832,-0.0497096,-0.07355554,-0.019083947,0.036502056,-0.033506513,0.019115604,-0.055677816,-0.04140643,0.0007950424
0.05920598,-0.029766178,-0.084944405,0.049989723,-0.05144507,-0.03392812,-0.005558751,-0.07927099,0.0032050023,-0.022580944
0.059212584,0.06548275,-0.035914067,-0.05826512,0.0296385,0.05494919,0.09418814,-0.049015574,-0.06362373,0.07296562
0.0592133,-0.0060312254,0.055587187,0.07526207,0.0055569666,-0.016788812,0.080325074,0.013029663,-0.07387929,-0.1252354
0.059203386,-0.0414168,0.0046204366,0.015735768,-0.017465124,-0.03514275,0.081940696,-0.05182793,0.017523779,0.048360955
0.059224494,-0.03241971,-0.04858787,0.03569908,-0.019103827,-0.08202905,-0.013856318,-0.023914455,-0.08988591,0.13716489
0.059227698,-0.084286645,-0.005221547,-0.022231037,0.047621567,-0.03796615,-0.029388782,-0.034899022,0.024480322,-0.016520327
0.05924013,0.010031673,-0.06027361,0.043472245,0.02569075,0.014423357,0.06447295,-0.053725585,0.06690295,0.0024547232
0.059242122,0.06112818,0.044743765,-0.0075446116,-0.035917673,-0.087664045,0.043599032,0.022396533,0.09287699,-0.033562195
0.059245087,0.06534412,-0.022750417,0.086072125,0.0074862055,-0.0012249053,0.01749487,-0.08387783,0.02792906,0.07417254
0.05927744,0.022695843,0.019426968,-0.17287368,0.047541447,0.05848965,-0.040463615,0.03287368,0.019358467,0.08424337
